ID_Ra,Name,Category,Total kg CO2-eq/kg,Agriculture,iLUC,Food processing,Packaging,Transport,Retail,Energy (KJ/100 g),Fat (g/100 g),Carbohydrate (g/100 g),Protein (g/100 g),ID_food,ID_pack,ID_retail,
Ra00233,"Syrup, kitchen",Candy/sugar products,1.75,1.09,0.09,0.05,0.42,0.09,0.01,1307,0,76.7,0.3,Fa0166,Pa063,Ma0332,
Ra00234,"Pasta, raw",Prepared/preserved foods,2.05,1.18,0.09,0.18,0.23,0.36,0.01,1532,1.8,73.9,13.5,Fa0006,Pa002,Ma0332,
Ra00235,"Apple, raw, all varieties",Fruit/vegetable products,0.61,0.34,0.02,0.00,0.14,0.10,0.01,233,0.2,10.9,0.3,Cm004,Pa059,Ma0332,
Ra00236,"Pear, raw",Fruit/vegetable products,0.46,0.24,0.03,0.00,0.14,0.04,0.01,207,0.1,8.3,0.3,Cm120,Pa059,Ma0332,
Ra00237,"Grape, raw",Fruit/vegetable products,0.88,0.54,0.04,0.00,0.14,0.16,0.01,285,0,15.3,0.6,Cm073,Pa059,Ma0332,
Ra00238,"Pork, collar with rind, raw",Meat/poultry,4.64,4.30,0.25,-0.23,0.14,0.19,0.00,1139,23.4,0,16.1,Fa0041,Pa059,Ma0333,
Ra00239,"Pork, ham, topside (M. Semimembranosus), lean, raw",Meat/poultry,4.64,4.30,0.25,-0.23,0.14,0.19,0.00,446,2.2,0,21.4,Fa0042,Pa059,Ma0333,
Ra00240,"Pork, loin, lean, raw",Meat/poultry,5.53,5.16,0.29,-0.27,0.14,0.22,0.00,450,1.9,0,22.3,Fa0043,Pa059,Ma0333,
Ra00241,"Pork, tenderloin, trimmed, raw",Meat/poultry,7.32,6.87,0.39,-0.37,0.14,0.28,0.00,484,3.3,0,21.2,Fa0044,Pa059,Ma0333,
Ra00242,"Pork, mince, 5-10% fat, raw",Meat/poultry,3.67,3.87,0.25,-0.71,0.14,0.13,0.00,726,11.2,0,18.4,Fa0047,Pa059,Ma0333,
Ra00243,"Pork, collar, defatted, raw",Meat/poultry,4.69,4.97,0.32,-0.90,0.14,0.16,0.00,756,12.4,0,17.4,Fa0048,Pa059,Ma0333,
Ra00244,"Pork, mince, 15-20% fat, raw",Meat/poultry,3.75,3.44,0.20,-0.18,0.14,0.15,0.00,929,17.2,0,17.1,Fa0045,Pa059,Ma0333,
Ra00245,"Minced meat, spaghetti sauce type, average values, ready meals",Meat/poultry,19.74,15.38,4.03,-0.60,0.64,0.29,0.00,528,8.3,4.9,8.1,Fa0167,Pa070,Ma0333,
Ra00246,"Turtle, fake, average values, ready meals",Meat/poultry,26.36,20.74,5.36,-0.75,0.63,0.38,0.01,457,6.2,5.5,7.9,Fa0233,Pa051,Ma0332,
Ra00247,"Spring roll, frozen, ready meals",Prepared/preserved foods,3.11,1.46,0.12,0.74,0.64,0.15,0.00,631,6.8,15.5,5.8,Fa0168,Pa070,Ma0333,
Ra00248,"Pork in curry sauce, frozen, ready meals",Meat/poultry,4.72,3.66,0.26,-0.06,0.64,0.19,0.02,497,8.6,2,8.5,Fa0172,Pa070,Ma0334,
Ra00249,"Pizza Romana, frozen, ready meals",Bread/bakery products,2.70,1.54,-0.19,1.01,0.21,0.11,0.02,745,5.8,23.1,7.2,Fa0097,Pa038,Ma0334,
Ra00250,"Liver, pig, in cream sauce, frozen, ready meals",Meat/poultry,2.98,1.37,0.08,0.79,0.64,0.08,0.02,519,5.4,6.9,11.9,Fa0173,Pa070,Ma0334,
Ra00251,"Pizza Napolitana, frozen, ready meals",Bread/bakery products,2.47,1.16,-0.37,1.34,0.21,0.11,0.02,761,6.1,21.9,8.6,Fa0100,Pa038,Ma0334,
Ra00252,"Spring roll, deepfried, ready meals",Prepared/preserved foods,3.11,1.46,0.12,0.74,0.64,0.15,0.00,851,9.8,21.4,6.1,Fa0168,Pa070,Ma0333,
